Payment measure name,Payment,Value of care category
Payment for heart attack patients,"$21,916 ",Average mortality and average payment
Payment for hip/knee replacement patients,"$20,591 ",Average complications and lower payment
Payment for heart attack patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$22,640 ",Average complications and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for pneumonia patients,Not Available,Not Available
Payment for heart failure patients,"$16,783 ",Average mortality and average payment
Payment for pneumonia patients,"$16,742 ",Average mortality and average payment
Payment for heart failure patients,"$19,153 ",Average mortality and higher payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for pneumonia patients,"$18,697 ",Average mortality and higher payment
Payment for pneumonia patients,"$17,419 ",Average mortality and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart attack patients,"$22,702 ",Average mortality and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for pneumonia patients,"$21,487 ",Average mortality and higher payment
Payment for pneumonia patients,"$15,120 ",Average mortality and lower payment
Payment for hip/knee replacement patients,"$25,275 ",Average complications and higher payment
Payment for heart failure patients,"$18,344 ",Average mortality and average payment
Payment for pneumonia patients,"$18,764 ",Average mortality and higher payment
Payment for pneumonia patients,"$19,713 ",Average mortality and average payment
Payment for pneumonia patients,"$16,144 ",Average mortality and average payment
Payment for heart failure patients,Not Available,Not Available
Payment for heart failure patients,"$13,785 ",Average mortality and lower payment
Payment for hip/knee replacement patients,"$22,182 ",Average complications and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$22,499 ",Average complications and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$21,389 ",Average complications and lower payment
Payment for heart failure patients,Not Available,Not Available
Payment for heart failure patients,"$16,034 ",Average mortality and average payment
Payment for heart failure patients,"$16,209 ",Average mortality and average payment
Payment for pneumonia patients,"$19,265 ",Average mortality and average payment
Payment for heart attack patients,"$20,650 ",Average mortality and lower payment
Payment for pneumonia patients,"$17,010 ",Average mortality and average payment
Payment for heart failure patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for pneumonia patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for pneumonia patients,Not Available,Not Available
Payment for pneumonia patients,"$17,608 ",Average mortality and average payment
Payment for pneumonia patients,Not Available,Not Available
Payment for pneumonia patients,"$14,549 ",Average mortality and lower payment
Payment for hip/knee replacement patients,"$21,043 ",Average complications and lower payment
Payment for heart failure patients,"$16,577 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for pneumonia patients,"$19,788 ",Average mortality and higher payment
Payment for heart attack patients,Not Available,Not Available
Payment for heart attack patients,"$21,670 ",Average mortality and average payment
Payment for heart failure patients,"$15,728 ",Average mortality and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for heart failure patients,"$15,992 ",Average mortality and average payment
Payment for pneumonia patients,"$18,581 ",Average mortality and average payment
Payment for pneumonia patients,"$13,733 ",Worse mortality and lower payment
Payment for heart failure patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$49,496 ",Average complications and higher payment
Payment for heart attack patients,"$21,626 ",Average mortality and average payment
Payment for heart failure patients,"$16,798 ",Average mortality and average payment
Payment for hip/knee replacement patients,"$24,693 ",Average complications and average payment
Payment for hip/knee replacement patients,"$24,026 ",Average complications and higher payment
Payment for hip/knee replacement patients,Not Available,Not Available
